"","","","","",
"Fileet","Demigoddess","Chaotic Neutral","avians","Dragon magazine #54 - Down-to-earth divinity, Deities & Demigods (First Edition)",
"Finder Wyvernspur","Demigod","Chaotic Neutral","Cycle of life (rot to rebirth), saurials, transformation of art","Faiths & Pantheons, Forgotten Realms Campaign Setting (Third Edition), Warriors of Heaven, Powers & Pantheons",
"Fionnghuala","Demigoddess","Neutral Good","communication, sorority, Swanmays","Warriors of Heaven, On Hallowed Ground, Monster Mythology",
"Fire (Hastsezini)","Intermediate deity/Lesser deity","Lawful Evil","destruction, Fire","Legends & Lore (Second Edition), Deities & Demigods (First Edition)",
"Firffuffl'nnb","Demigod","Chaotic Evil","Norkers","White Dwarf magazine #42 - Inhuman Gods part IV",
"Flandal Steelskin","Intermediate deity/Demigod","Neutral Good","armoring, metalworking, mining, physical fitness, smithing, weaponsmithing","http://www.wizards.com/rpga/downloads/LG_Deities.zip, Faiths & Pantheons, Living Greyhawk Journal no. 3 - Gods of Oerth, Warriors of Heaven, Demihuman Deities, On Hallowed Ground, Monster Mythology, Dragon magazine #61 - The Gods of the Gnomes",
"Flaymaster, The","divine level unknown","Lawful Evil","Cold, hurt, pain, torture","Kingdoms of Kalamar Campaign Setting",
"Forgiefanas","divine level unknown","Lawful Good","healing, sorrow","White Dwarf magazine #42 - Irilian: A Complete AD&D City",
"Forgotten God, The","Demigod","Neutral Evil","The yikaria","Dragon magazine #241 - The Roof of the World",
"Forseti","Intermediate deity/Greater deity","Neutral (Lawful Good)","Justice, law","Deities & Demigods (Third Edition), Warriors of Heaven, On Hallowed Ground, Legends & Lore (Second Edition), Deities & Demigods (First Edition), Gods, Demi-Gods & Heroes",
"Fortubo","Lesser deity","Lawful Good (Lawful Neutral)","dwarves, guardianship, metals, Mountains, Stone","http://www.wizards.com/rpga/downloads/LG_Deities.zip, Living Greyhawk Journal no. 3 - Gods of Oerth, Living Greyhawk Gazetteer, Warriors of Heaven, The Scarlet Brotherhood, Player's Guide to Greyhawk, The Temple of Elemental Evil, Dragon magazine #88 - Gods of the Suel Pantheon",
"Founder, The","divine level unknown","Lawful Neutral","cities, law, order","Kingdoms of Kalamar Campaign Setting",
"Frantilla","divine level unknown","Neutral Good","Flying","The Unknown Gods",
"Frey","Greater deity/Intermediate deity","Neutral Good","abundance, agriculture, Elves, fairyland, fertility, harvest, Horses, peace, Rain, sun, sunshine","Deities & Demigods (Third Edition), Dragon magazine #283 - Do-It-Yourself Deities, Warriors of Heaven, On Hallowed Ground, Legends & Lore (Second Edition), Dragon magazine #110 - For Better or Norse: II, Deities & Demigods (First Edition), Gods, Demi-Gods & Heroes",
"Freya","Intermediate deity/Greater deity","Neutral Good (Chaotic Neutral) (Chaotic Good)","fertility, human fertility, Love, magic, omens, passion, the dead, Vanity","Deities & Demigods (Third Edition), Dragon magazine #283 - Do-It-Yourself Deities, Warriors of Heaven, On Hallowed Ground, Legends & Lore (Second Edition), Dragon magazine #110 - For Better or Norse: II, Deities & Demigods (First Edition), Gods, Demi-Gods & Heroes",
"Frigga","Greater deity/Intermediate deity","Neutral (Lawful Neutral)","Atmosphere, birth, domestic life, fertility, Love, marriage, Sky, weather","Deities & Demigods (Third Edition), Dragon magazine #283 - Do-It-Yourself Deities, On Hallowed Ground, Legends & Lore (Second Edition), Deities & Demigods (First Edition), Gods, Demi-Gods & Heroes",
"Fu Hsing","Intermediate deity","Chaotic Good","Happiness and joy","Warriors of Heaven, On Hallowed Ground, Legends & Lore (Second Edition)",
"Fudo-Myoo","divine level unknown","not listed","not listed","Dragon magazine #13 - The Japanese Mythos",
"Fugen-Bosatsu","divine level unknown","not listed","not listed","Dragon magazine #13 - The Japanese Mythos",
"Fujin","divine level unknown","not listed","The winds","Dragon magazine #13 - The Japanese Mythos",
"Fukurokujo","divine level unknown","not listed","Luck","Dragon magazine #13 - The Japanese Mythos",
"Furies, The","Lesser deities","Neutral","Justice","On Hallowed Ground, Legends & Lore (Second Edition)",
"Fury, The","divine level unknown","Neutral Evil","Passion driven to madness","Eberron Campaign Setting",
"Gabija","divine level unknown","Neutral Good","Hearth, Home, the family and its animals","Dragon magazine #290 - Red Sails: Bright Sun, Mother Earth",
"Gadhelyn","Hero God","Chaotic Neutral","feasting, Hunting, Independence, outlawry","http://www.wizards.com/rpga/downloads/LG_Deities.zip, Living Greyhawk Journal no. 3 - Blood of Heroes, Living Greyhawk Journal no. 3 - Gods of Oerth",
"Gaea","Greater deity","Neutral","Earth, fertility, health, prophecy","Warriors of Heaven, On Hallowed Ground, Legends & Lore (Second Edition)",
"Gaerdal Ironhand","Lesser deity","Lawful Good (Lawful Neutral)","combat, martial defense, protection, vigilance","http://www.wizards.com/rpga/downloads/LG_Deities.zip, Faiths & Pantheons, Living Greyhawk Journal no. 3 - Gods of Oerth, Warriors of Heaven, Demihuman Deities, On Hallowed Ground, Monster Mythology",
"Gaknulak","Demigod","Lawful Evil (Neutral Evil)","protection, Stealth, traps, Trickery","http://www.wizards.com/rpga/downloads/LG_Deities.zip, On Hallowed Ground, Monster Mythology",
"Galaedros","Greater deity","Neutral","nature, wood","Ghostwalk",
"Garagos","Demigod","Chaotic Neutral","destruction, plunder, skill-at-arms, War","Faiths & Pantheons, Forgotten Realms Campaign Setting (Third Edition), Powers & Pantheons",
"Gargauth","Demigod","Lawful Evil","betrayal, cruelty, ill council, political corruption, political puppetmasters, powerbrokers, powermongers, self-serving advisers","Faiths & Pantheons, Forgotten Realms Campaign Setting (Third Edition), Powers & Pantheons",
"Garl Glittergold","Greater deity","Neutral Good (Lawful Good)","adventurers, bards, defending soldiers, fine-smithing and lapidary, gemcutting, gems, Gnomes, humor, illusion, jewelrymaking, miners, protection, rogues, smithing, smiths, Trickery, wit","http://www.wizards.com/rpga/downloads/LG_Deities.zip, Races of Stone, Complete Divine, Player's Handbook (Third Edition Revised), Faiths & Pantheons, Deities & Demigods (Third Edition), Dragon magazine #283 - Do-It-Yourself Deities, Living Greyhawk Journal no. 3 - Gods of Oerth, Player's Handbook (Third Edition), Warriors of Heaven, Demihuman Deities, On Hallowed Ground, Monster Mythology, Deities & Demigods (First Edition)",
"Garyx","Lesser deity/Intermediate deity/Greater deity","Chaotic Evil","destruction, Fire, fire-using dragons, renewal","Draconomicon (Third Edition), Cult of the Dragon, Draconomicon (Second Edition)",
"Gauna (Gawa) (Gamab) (Gaunab)","divine level unknown","Chaotic Evil","assassination, bad weather, cannibalism, chaos, death, disease, evil","Dragon magazine #215 - The Deities of Africa",
"Geb","Lesser deity/Intermediate deity/Greater deity","Neutral (Neutral Good)","mineral resources, miners, mines, The earth","Faiths & Pantheons, Dragon magazine #283 - Do-It-Yourself Deities, Warriors of Heaven, Powers & Pantheons, On Hallowed Ground, Legends & Lore (Second Edition), Deities & Demigods (First Edition), Gods, Demi-Gods & Heroes",
"Gelf Darkhearth","Intermediate deity","Chaotic Neutral","Entropy, revenge","Races of Stone",
"Gendwar Argrim","Hero God","Lawful Neutral","Fatalism and obsession","http://www.wizards.com/rpga/downloads/LG_Deities.zip, Living Greyhawk Journal no. 3 - Blood of Heroes, Living Greyhawk Journal no. 3 - Gods of Oerth",
"Gerda","Lesser deity","Neutral Good","Agriculture and beauty","Dragon magazine #110 - For Better or Norse: I",
"Geshtai","Lesser deity","Neutral","Lakes, rivers, streams, wells","http://www.wizards.com/rpga/downloads/LGBBSS_v1-0.zip, Stormwrack, http://www.wizards.com/rpga/downloads/LG_Deities.zip, Complete Divine, Living Greyhawk Journal no. 3 - Gods of Oerth, Living Greyhawk Gazetteer, Warriors of Heaven, Player's Guide to Greyhawk, The Temple of Elemental Evil",
"Ggorulluzg","Demigod","Chaotic Evil","bullywugs, swamps","White Dwarf magazine #39 - Inhuman Gods part I",
"Ghaunadaur","Lesser deity","Chaotic Evil","all things subterranean, jellies, Oozes, outcasts, rebels, ropers, slimes","Lords of Madness, Faiths & Pantheons, Demihuman Deities, Drow of the Underdark (Second Edition)",
"Gidja","divine level unknown","not listed","not listed","Dragon magazine #19 - The Mythos of Australia in Dungeons & Dragons",
"Gilean","Greater deity","Neutral","balance, freedom, knowledge, Learning, watchfulness","Dragonlance Campaign Setting (Third Edition), Warriors of Heaven, On Hallowed Ground, Dragonlance Adventures",
"Gilgamesh","divine level unknown","Neutral Good","not listed","Sandstorm",
"Gilgeam","Demigod/Intermediate deity","Lawful Evil","athletic prowess, battle, cities, strength, the land of Unther, the sky","Lost Empires of Faerun, Powers & Pantheons",
"Girru","Lesser deity","Lawful Good","Fire","Sandstorm, Warriors of Heaven, On Hallowed Ground, Deities & Demigods (First Edition)",
"Glaaki","Demigod","Chaotic Neutral","evil dreams, undead servitors","Call of Cthulhu d20",
"Glautru","Demigod","Neutral","Fate, Life and death, prophecy","Races of Destiny",
"Glutton, The","Lesser deity","Chaotic Evil","Disaster, Greed","Races of Stone",
"God of Pestilence, The","divine level unknown","Neutral Evil","Sickness and disease","The Complete Book of Necromancers",
"God of Suffering, The","divine level unknown","Neutral Good","compassion, Endurance, madness, pain","The Complete Book of Necromancers",
"God of the Dead","divine level unknown","Neutral (Neutral Evil)","opposition to undead, the dead","The Complete Book of Necromancers",
"Goddess of Murder, The","divine level unknown","Chaotic Evil","unnatural and premeditated killing","The Complete Book of Necromancers",
"Goddess of the Jade Petticoat","divine level unknown","not listed","not listed","Gods, Demi-Gods & Heroes",
"Gods of Lankhmar","Intermediate deities/Demigods","Chaotic Evil (Neutral Evil)","Lankhmar","Lankhmar, City of Adventure (Second Edition), Legends & Lore (Second Edition), Deities & Demigods (First Edition)",
"Gods of Trouble","Intermediate deities/Lesser deities","Chaotic Evil","Chaotic actions, evil fate","Lankhmar, City of Adventure (Second Edition), Legends & Lore (Second Edition), Deities & Demigods (First Edition)",
"Goibhniu (Goibhnie) (Goibniu)","Intermediate deity/Lesser deity","Neutral (Neutral Good)","healing, Manufacture of weapons and armor, smithing, smithwork","Dragon magazine #283 - Do-It-Yourself Deities, Warriors of Heaven, On Hallowed Ground, Legends & Lore (Second Edition), Dragon magazine #65 - Tuatha De Danann, Deities & Demigods (First Edition), Gods, Demi-Gods & Heroes",
"Golod","divine level unknown","not listed","Evil/death","Dragon magazine #24 - Choir Practice at the First Church of Lawful Evil (Orthodox): The Ramifications of Alignment",
"Gond","Intermediate deity/Lesser deity","Neutral","Artifice, blacksmiths, construction, craft, smithwork","Faiths & Pantheons, Forgotten Realms Campaign Setting (Third Edition), Warriors of Heaven, On Hallowed Ground, Faiths & Avatars, Forgotten Realms Adventures, Dragon magazine #54 - Down-to-earth divinity",
"Gorellik","Demigod","Chaotic Evil","Hunting, hyenadons, hyenas","On Hallowed Ground, Monster Mythology",
"Gorm","divine level unknown","Lawful Neutral","Justice, storms, war","Dragon magazine #315 - Mystara: Return to the Lost City",
"Gorm Gulthyn","Lesser deity","Lawful Good","defense, duty, dwarven guardians, Guardian of all dwarves, vigilance, watchfulness","Faiths & Pantheons, Demihuman Deities",
"Grankhul","Lesser deity","Chaotic Evil","Hunting, senses, Stealth, surprise","http://www.wizards.com/rpga/downloads/LG_Deities.zip, On Hallowed Ground, Monster Mythology",
"Grea","divine level unknown","Chaotic Good","Dissembling","Imagine magazine #26 - The Gods of Pelinore",
"Great Huntress, The","divine level unknown","Chaotic Good","archery, Hunting, patience","Kingdoms of Kalamar Campaign Setting",
"Great Mother","Greater deity","Lawful Evil (Chaotic Evil)","Beholders, fertility, magic, tyranny","Lords of Madness, http://www.wizards.com/rpga/downloads/LG_Deities.zip, Complete Divine, Defenders of the Faith, On Hallowed Ground, Monster Mythology",
"Great Spirit","Greater deity","Lawful Good","creation, life, light, nature","Legends & Lore (Second Edition)",
"Green Man","Demigod","Neutral (Chaotic Neutral)","abundance, natural growth","Imagine magazine #26 - The Gods of Pelinore, Beyond the Crystal Cave",
"Grismal","divine level unknown","Neutral","Guardian of the underworld","The Unknown Gods",
"Grolantor","Intermediate deity/Lesser deity","Chaotic Evil","battle, combat, ettins, Hill giants, Hunting, ogres, War","http://www.wizards.com/rpga/downloads/LG_Deities.zip, Complete Divine, Defenders of the Faith, On Hallowed Ground, Giantcraft, Monster Mythology, Deities & Demigods (First Edition)",
"Grome","Lesser deity","Neutral","earth elementals, Elemental earth","Dragon magazine #54 - Down-to-earth divinity, Deities & Demigods (First Edition)",
"Grond Peaksmasher","Demigod","Neutral (Chaotic Good)","Firbolgs of the Moonshae Isles","Polyhedron magazine #111 - Forgotten Deities",
"Grumbar","Greater deity","Neutral","changelessness, earth elementalists, Elemental earth, oaths, solidity","Faiths & Pantheons, Forgotten Realms Campaign Setting (Third Edition), On Hallowed Ground",
"Grunnundergron","divine level unknown","not listed","mining","Imagine magazine #26 - The Gods of Pelinore",
"Gruumsh","Greater deity","Chaotic Evil (Lawful Evil)","conquest, Orcs, strength, Survival, territory, violence, War","http://www.wizards.com/rpga/downloads/LG_Deities.zip, Complete Divine, Player's Handbook (Third Edition Revised), Faiths & Pantheons, Deities & Demigods (Third Edition), Defenders of the Faith, Dragon magazine #283 - Do-It-Yourself Deities, Player's Handbook (Third Edition), On Hallowed Ground, Monster Mythology, Deities & Demigods (First Edition)",
"Guardian of Dead Gods, The","Lesser deity","Lawful Neutral","Dead gods","Dragon magazine #359 - Class Acts: Divine: Forgotten Faiths",
"Guardian, The","divine level unknown","Chaotic Good","freedom, Happiness, liberty","Kingdoms of Kalamar Campaign Setting",
"Gullveig","Lesser deity","Lawful Evil","Black magic and greed","Dragon magazine #110 - For Better or Norse: I",
"Gungger","divine level unknown","not listed","Earth","Dragon magazine #24 - Choir Practice at the First Church of Lawful Evil (Orthodox): The Ramifications of Alignment",
"Gwaeron Windstrom","Demigod","Neutral Good","interpreting woodland signs, rangers of the North, Tracking","Faiths & Pantheons, Forgotten Realms Campaign Setting (Third Edition), Warriors of Heaven, Powers & Pantheons",
"Gzemnid","Lesser deity","Chaotic Evil","deception, Gases and fogs, obscurement","On Hallowed Ground, Monster Mythology",
"Haaashastaak","Demigod","Neutral","Reptiles","Dragon magazine #54 - Down-to-earth divinity, Deities & Demigods (First Edition)",
"Habbakuk","Intermediate deity","Neutral Good","animals, creation, passion, Seas, Water","Dragonlance Campaign Setting (Third Edition), Warriors of Heaven, On Hallowed Ground, Dragonlance Adventures",
"Hachiman","Intermediate deity/Demigod","Lawful Neutral (Chaotic Good)","War","Warriors of Heaven, On Hallowed Ground, Legends & Lore (Second Edition), Deities & Demigods (First Edition), Dragon magazine #13 - The Japanese Mythos",
"Hades","Greater deity/Intermediate deity","Neutral Evil (Lawful Neutral) (Lawful Evil)","death, Earth, underworld, Wealth","Deities & Demigods (Third Edition), Dragon magazine #283 - Do-It-Yourself Deities, On Hallowed Ground, Legends & Lore (Second Edition), Deities & Demigods (First Edition), Gods, Demi-Gods & Heroes",
"Haela Brightaxe","Demigoddess","Chaotic Good","dwarven fighters, joy of battle, Luck in battle","Faiths & Pantheons, Demihuman Deities",
"Haelyn","Greater deity","Lawful Good","leadership, Noble war","Warriors of Heaven, On Hallowed Ground, Birthright Campaign Setting",
"Hajama","divine level unknown","N/A","bravery","Land of Fate",
"Hakiyah","divine level unknown","N/A","honesty, truth","Land of Fate",
"Haku","divine level unknown","Chaotic Good","freedom, Independence","Sandstorm, Land of Fate",
"Halav","Lesser deity","Lawful Neutral","strategy, War, Weaponsmiths","Warriors of Heaven",
"Halmyr","divine level unknown","Lawful Neutral","skill, strategy","Complete Warrior",
"Halnass","Demigod","Neutral","Lava children","White Dwarf magazine #41 - Inhuman Gods part III",
"Hanali Celanil","Intermediate deity/Lesser deity","Chaotic Good","artists, Beauty, enchantments, fine arts, magic item artistry, romance, Romantic love","http://www.wizards.com/rpga/downloads/LG_Deities.zip, Races of the Wild, Faiths & Pantheons, Living Greyhawk Journal no. 3 - Gods of Oerth, Warriors of Heaven, Demihuman Deities, On Hallowed Ground, Monster Mythology, Dragon magazine #60 - The Gods of the Elves",
"Hanish","divine level unknown","not listed","Storms and bad weather","Dragon magazine #16 - Near Eastern Mythos",
"Hanseath","Lesser deity","Chaotic Neutral","alcohol, carousing, War","Races of Stone",
"Hanuman the Accursed","divine level unknown","not listed","not listed","Gods, Demi-Gods & Heroes",
"Haoma","divine level unknown","Lawful Good","not listed","Dragon magazine #12 - The Persian Mythos",
"Hapi","divine level unknown","not listed","The north","Gods, Demi-Gods & Heroes",
"Hara","divine level unknown","not listed","Air","Dragon magazine #24 - Choir Practice at the First Church of Lawful Evil (Orthodox): The Ramifications of Alignment",
"Hare","divine level unknown","Chaotic Neutral","cunning, deceit, thieves","Dragon magazine #191 - An African Genesis",
"Harvester of Souls","divine level unknown","Neutral Evil","death, underworld","Kingdoms of Kalamar Campaign Setting",
"Hastseltsi","Lesser deity","Neutral","Racing","Deities & Demigods (First Edition)",
"Hastur","Demigod/Greater deity","Neutral Evil (Chaotic Evil)","Air","Call of Cthulhu d20, Deities & Demigods (First Edition)",
"Hate","Intermediate deity/Lesser deity","Chaotic Evil","Emotional hatreds, harm","Lankhmar, City of Adventure (Second Edition), Legends & Lore (Second Edition), Deities & Demigods (First Edition)",
"Hathor","Lesser deity","Neutral Good","childbirth, dance, Fate, folk music, Love, moon, motherhood, poetry","Sandstorm, Faiths & Pantheons, Deities & Demigods (Third Edition), Warriors of Heaven, Powers & Pantheons",
"Haumea","divine level unknown","not listed","childbirth","Dragon magazine #20 - The Mythos of Polynesia in Dungeons & Dragons",
"Haumia","divine level unknown","not listed","Uncultivated plants","Dragon magazine #20 - The Mythos of Polynesia in Dungeons & Dragons",
"Hecate","Intermediate deity/Lesser deity","Neutral Evil (Lawful Evil) (Chaotic Evil)","abundance, magic, moon, undead","Deities & Demigods (Third Edition), Dragon magazine #283 - Do-It-Yourself Deities, On Hallowed Ground, Legends & Lore (Second Edition), Deities & Demigods (First Edition), Gods, Demi-Gods & Heroes",
"Hei","divine level unknown","Neutral","Giants","The Unknown Gods",
"Heimdall","Intermediate deity/Greater deity","Lawful Good (Lawful Neutral)","gates, hearing, light and guardianship, Loyalty, open paths, sentries, sight, watchfulness","Deities & Demigods (Third Edition), Dragon magazine #283 - Do-It-Yourself Deities, Warriors of Heaven, On Hallowed Ground, Legends & Lore (Second Edition), Deities & Demigods (First Edition), Gods, Demi-Gods & Heroes",
"Heironeous","Intermediate deity/Lesser deity","Lawful Good","chivalry, daring, Honor, Justice, valor, War","http://www.wizards.com/rpga/downloads/LG_Deities.zip, Complete Divine, Player's Handbook (Third Edition Revised), Deities & Demigods (Third Edition), Living Greyhawk Journal no. 3 - Gods of Oerth, Living Greyhawk Gazetteer, Player's Handbook (Third Edition), Bastion of Faith, Warriors of Heaven, Player's Guide to Greyhawk, On Hallowed Ground, The Temple of Elemental Evil, Dragon magazine #67 - The Deities & Demigods of the World of Greyhawk",
"Hel","Intermediate deity/Greater deity","Neutral Evil","death, disease, underworld","Deities & Demigods (Third Edition), Dragon magazine #283 - Do-It-Yourself Deities, On Hallowed Ground, Legends & Lore (Second Edition), Deities & Demigods (First Edition), Gods, Demi-Gods & Heroes",
"Helm","Intermediate deity/Lesser deity","Lawful Neutral","Guardians, guardianship, protection, protectors","Faiths & Pantheons, Forgotten Realms Campaign Setting (Third Edition), Warriors of Heaven, On Hallowed Ground, Faiths & Avatars, Forgotten Realms Adventures, Dragon magazine #54 - Down-to-earth divinity",
"Hephaestus","Intermediate deity/Lesser deity","Neutral Good (Neutral)","blacksmithing, blacksmiths, crafts, smithing","Deities & Demigods (Third Edition), Dragon magazine #283 - Do-It-Yourself Deities, Warriors of Heaven, On Hallowed Ground, Legends & Lore (Second Edition), Deities & Demigods (First Edition), Gods, Demi-Gods & Heroes",
"Hera","Greater deity","Neutral (Chaotic Neutral)","intrigue, marriage, women","Deities & Demigods (Third Edition), Dragon magazine #283 - Do-It-Yourself Deities, Warriors of Heaven, On Hallowed Ground, Legends & Lore (Second Edition), Deities & Demigods (First Edition), Gods, Demi-Gods & Heroes",
"Hercon","divine level unknown","Neutral","Directional magic","The Unknown Gods",
"Hercules (Heracles)","Demigod","Chaotic Good (Chaotic Neutral)","adventure, strength","Deities & Demigods (Third Edition), Legends & Lore (Second Edition), Deities & Demigods (First Edition)",
"Hermes","Intermediate deity/Greater deity","Neutral (Chaotic Good)","gamblers, gambling, liars, messengers, running, thievery, thieves, Trade, travel","Dragon magazine #283 - Do-It-Yourself Deities, Warriors of Heaven, On Hallowed Ground, Legends & Lore (Second Edition), Deities & Demigods (First Edition), Gods, Demi-Gods & Heroes",
"Hermod","Demigod/Lesser deity","Chaotic Neutral (Neutral)","communication, freedom, Luck, messengers, thieves","Deities & Demigods (Third Edition), Gods, Demi-Gods & Heroes, Dragon magazine #110 - For Better or Norse: I",
"Hestia","Lesser deity","Neutral Good","family, Hearth, Home","Deities & Demigods (Third Edition), Dragon magazine #283 - Do-It-Yourself Deities, Dragon magazine #153 - Following in Their Footsteps",
"Heward","Hero God/Quasi-deity","Neutral Good (Neutral)","bards, musicians","http://www.wizards.com/rpga/downloads/LG_Deities.zip, Dragon magazine #71 - Greyhawk's World",
"Hextor","Intermediate deity/Lesser deity","Lawful Evil","conflict, Discord, fitness, massacres, tyranny, War","Dragon magazine #356 - Core Beliefs: Hextor, http://www.wizards.com/rpga/downloads/LG_Deities.zip, Complete Divine, Player's Handbook (Third Edition Revised), Deities & Demigods (Third Edition), Living Greyhawk Journal no. 3 - Gods of Oerth, Living Greyhawk Gazetteer, Player's Handbook (Third Edition), Bastion of Faith, Player's Guide to Greyhawk, On Hallowed Ground, The Temple of Elemental Evil, Dragon magazine #67 - The Deities & Demigods of the World of Greyhawk",
"Hi-iaka","divine level unknown","not listed","sorcery, the Hula","Dragon magazine #20 - The Mythos of Polynesia in Dungeons & Dragons",
"Hiatea","Greater deity","Neutral Good (Neutral)","agriculture, childbirth, children, Female giants, Fire, Hunting, nature","http://www.wizards.com/rpga/downloads/LG_Deities.zip, Complete Divine, Defenders of the Faith, Warriors of Heaven, On Hallowed Ground, Giantcraft, Monster Mythology",
"Hiddukel","Intermediate deity","Chaotic Evil","betrayal, Greed, Lies, thieves, Wealth","Dragonlance Campaign Setting (Third Edition), On Hallowed Ground, Dragonlance Adventures",
"High God","Overdeity","N/A","Chance, energy, Justice, truth","On Hallowed Ground",
"High Overlord, The","Greater deity","Lawful Neutral","destiny","White Dwarf magazine #55 - The Gods of the Shapelings",
"Hiisi","Greater deity","Chaotic Evil","evil","On Hallowed Ground, Deities & Demigods (First Edition), Gods, Demi-Gods & Heroes",
"Hina","divine level unknown","not listed","The moon, the underworld","Dragon magazine #20 - The Mythos of Polynesia in Dungeons & Dragons",
"Hishrak","divine level unknown","Lawful Evil","tyranny","Dragon magazine #283 - Do-It-Yourself Deities",
"Hisk","divine level unknown","not listed","Battle glory","Dragon magazine #24 - Choir Practice at the First Church of Lawful Evil (Orthodox): The Ramifications of Alignment",
"Hlal (Avachel)","Lesser deity","Chaotic Good","Draconic humor, inspiration, inventiveness, pleasure, storytelling","Draconomicon (Third Edition), Demihuman Deities (as Avachel), Cult of the Dragon, Draconomicon (Second Edition)",
"Hleid","divine level unknown","Neutral Good","animals of the frostfell, guardian of cold magic, Uldras","Frostburn",
"Hlyyaak","Demigod","Chaotic Good","Camels","Dragon magazine #54 - Down-to-earth divinity",
"Ho Masubi","Intermediate deity","Chaotic Neutral","Fire","On Hallowed Ground, Legends & Lore (Second Edition)",
"Hoar","Demigod/Lesser deity","Lawful Neutral","poetic justice, retribution, revenge","Faiths & Pantheons, Forgotten Realms Campaign Setting (Third Edition), Powers & Pantheons",
"Hoenir","divine level unknown","not listed","not listed","Gods, Demi-Gods & Heroes",
"Holy Mother, The","divine level unknown","Lawful Good","Home, industriousness, marriage","Kingdoms of Kalamar Campaign Setting",
"Hongatar","divine level unknown","not listed","Fir trees","Gods, Demi-Gods & Heroes",
"Horus","Lesser deity","Lawful Neutral (Chaotic Good)","revenge, the sky, the sun, War","Dragon magazine #283 - Do-It-Yourself Deities, Warriors of Heaven, On Hallowed Ground, Legends & Lore (Second Edition), Deities & Demigods (First Edition), Gods, Demi-Gods & Heroes",
"Hotei","divine level unknown","not listed","Luck","Dragon magazine #13 - The Japanese Mythos",
"Hrea","divine level unknown","Chaotic Neutral","Dissembling","Imagine magazine #26 - The Gods of Pelinore",
"Hred","Intermediate deity","Lawful Evil","Cold, winter","Dragon magazine #263 - Hearth & Sword",
"Hruggek","Intermediate deity/Lesser deity","Chaotic Evil","Bugbears, combat, violence","http://www.wizards.com/rpga/downloads/LG_Deities.zip, Complete Divine, Defenders of the Faith, On Hallowed Ground, Monster Mythology, Deities & Demigods (First Edition)",
"Hrussiall'k","Lesser deity","Neutral Evil","Firenewts","White Dwarf magazine #40 - Inhuman Gods part II",
"Huhueteotl","Intermediate deity/Greater deity","Chaotic Evil","Fire and the motion of time","http://www.wizards.com/rpga/downloads/LG_Deities.zip, Dragon magazine #283 - Do-It-Yourself Deities, The Scarlet Brotherhood, Deities & Demigods (First Edition)",
"Huitzilopochtli (Huitzilopoohtli)","Lesser deity/Intermediate deity","Lawful Evil (Neutral) (Neutral Evil)","Aztecs, conquest, light, War","Dragon magazine #356 - Class Acts: Aztec Mythos III, Dragon magazine #283 - Do-It-Yourself Deities, Legends & Lore (Second Edition), Deities & Demigods (First Edition), Gods, Demi-Gods & Heroes",
"Hypnatia","Greater deity","Lawful Neutral","Dreams and sleep","Dragon magazine #287 - Dreamlands",
"Iallanis","Lesser deity","Neutral Good","Beauty, Cloud giants, good giants, Love, mercy, stone giants, storm giants","http://www.wizards.com/rpga/downloads/LG_Deities.zip, Complete Divine, Defenders of the Faith, Warriors of Heaven, On Hallowed Ground, Giantcraft, Monster Mythology, Dragon magazine #342 - “Spellcraft: Alien Blessings”",
"Iborighu","divine level unknown","Chaotic Evil","Evil uldras, ice","Frostburn",
"Ibrandul","Lesser deity","Chaotic Neutral","caverns, dungeons, skulks, Underdark","Lost Empires of Faerun, On Hallowed Ground, Faiths & Avatars",
"Idun","Intermediate deity/Lesser deity","Chaotic Good","Eternal youth, Spring","Warriors of Heaven, On Hallowed Ground, Legends & Lore (Second Edition), Deities & Demigods (First Edition), Gods, Demi-Gods & Heroes",
"Ihlwynd","divine level unknown","Neutral Evil","Pestilence","The Unknown Gods",
"Ilala","divine level unknown","Lawful Good","charity, healing","Lankhmar, City of Adventure (Second Edition)",
"Ilmatar","Lesser deity","Lawful Good","motherhood, Mothers","Warriors of Heaven, On Hallowed Ground, Deities & Demigods (First Edition)",
"Ilmater","Intermediate deity/Lesser deity","Lawful Good","Endurance, martyrdom, perseverance, suffering","Faiths & Pantheons, Forgotten Realms Campaign Setting (Third Edition), Warriors of Heaven, On Hallowed Ground, Faiths & Avatars, Forgotten Realms Adventures, Dragon magazine #54 - Down-to-earth divinity",
"Ilneval","Lesser deity/Intermediate deity","Neutral Evil (Lawful Evil)","combat, leadership, overwhelming numbers, strategy, Warfare, warriors","http://www.wizards.com/rpga/downloads/LG_Deities.zip, Faiths & Pantheons, On Hallowed Ground, Monster Mythology, Dragon magazine #62 - The Gods of the Orcs",
"Ilsensine","Greater deity","Lawful Evil","magic, mental dominion, Mind flayers","Lords of Madness, Complete Divine, Expanded Psionics Handbook, On Hallowed Ground, Monster Mythology, Dragon magazine #342 - “Spellcraft: Alien Blessings”",
"Ilsundal","Greater deity","Chaotic Good","philosophy, protector of elves, Trees","Warriors of Heaven",
"Ilxendren","Lesser deity","Chaotic Evil","cruelty, mutation, vampirism","Night Below",
"Imhotep","Demigod","Neutral Good","crafts, medicine","Sandstorm, Deities & Demigods (Third Edition)",
"Inanna (Ishtar) (Astarte) (Anat)","Greater deity","Lawful Evil","Love, War","On Hallowed Ground, Deities & Demigods (First Edition), Dragon magazine #16 - Near Eastern Mythos",
